"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"IL GIORNO PIÙ TRISTE DEL MONDO (feat. Ariete & Mecna)","Sick Luke","X2","2022-01-07",191495,49,0.348,0.72,0.736,1.31e-06,0.216,-4.646,0.157,144.058,5,1,191495,0.463,4,"4YyShs1DikZWBV6AS3n2We","italian hip hop","trap italiana",NA,NA,NA,NA,NA
"Cardio","Frah Quintale","Banzai (Lato arancio)","2021-06-04",217428,42,0.0384,0.77,0.588,0,0.0604,-7.007,0.046,104.951,0,1,217428,0.532,4,"50sBM7nU6aKAnGJQIqNdeH","italian hip hop","italian indie pop","italian pop","milan indie",NA,NA,NA
"Il Meno Possibile (feat. Gazzelle)","Marco Mengoni","MATERIA (TERRA)","2021-12-03",179584,59,0.295,0.572,0.462,0,0.114,-8.289,0.0464,110.059,5,1,179584,0.184,4,"40O0wgOTqcMr4UEDkbmBBz","italian adult pop","italian pop",NA,NA,NA,NA,NA
"Blue World","Mac Miller","Circles","2020-01-17",209440,75,0.389,0.742,0.553,0,0.0694,-8.98,0.419,84.931,8,1,209440,0.508,4,"2hwOoMtWPtTSSn6WHV7Vp5","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA
"Thriller (feat. Nerone)","Axos","MANIE","2022-03-25",126720,27,0.262,0.657,0.68,0,0.243,-7.894,0.415,93.792,11,0,126720,0.506,4,"4KPi4gsJsnXkLobEBHUlbB","italian hip hop",NA,NA,NA,NA,NA,NA
"BABY GODDAMN","Tananai","BABY GODDAMN","2021-03-26",149605,62,0.0317,0.819,0.764,2.73e-05,0.0579,-3.311,0.1,114.033,10,0,149605,0.885,4,"3yWHQ4n4ARLDfYTuT2NhnN","italian pop",NA,NA,NA,NA,NA,NA
"TILT","Mecna","Bromance","2022-03-10",207315,38,0.0259,0.603,0.772,0,0.325,-6.045,0.111,94.231,0,1,207315,0.528,4,"16Tc7j9DNG8xQzn6TqSjAu","italian hip hop","r&b italiano",NA,NA,NA,NA,NA
"Dunno","Mac Miller","Swimming","2018-08-03",237093,67,0.768,0.622,0.229,0.00906,0.134,-11.322,0.0445,81.87,1,1,237093,0.0998,4,"3YnwIp2b99p3e5dsFTXIIx","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA
"Un'altra canzone per te","Axos","MANIE","2022-03-25",205440,31,0.391,0.72,0.711,1.1e-05,0.121,-7.514,0.245,115.002,7,1,205440,0.334,4,"6wOwRcNuIhA4jA9cl1BDHP","italian hip hop",NA,NA,NA,NA,NA,NA
"PARTENOPE","LIBERATO","LIBERATO II","2022-05-09",217443,62,0.0652,0.692,0.552,0,0.19,-8.845,0.072,133.051,0,1,217443,0.747,4,"60NC3OqjiISKBYbscb8vW3","italian hip hop","italian indie pop","italian pop","r&b italiano","rap napoletano",NA,NA
"Malibu","Mecna","Lungomare Paranoia","2017-01-13",196746,26,0.0531,0.514,0.543,3.64e-05,0.198,-8.632,0.226,118.891,0,1,196746,0.384,4,"6SmuP1piZ0ZPkztka2rGct","italian hip hop","r&b italiano",NA,NA,NA,NA,NA
"Surf","Mac Miller","Circles (Deluxe)","2020-03-19",330506,52,0.754,0.828,0.182,0.0706,0.15,-13.066,0.166,147.279,1,0,330506,0.231,4,"3m9St7c9tpJwNYN2adNESk","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA
"Geloso","Axos","MANIE","2022-03-25",161700,25,0.0332,0.648,0.869,0,0.0583,-5.497,0.046,99.979,9,0,161700,0.663,4,"1HIMfBE3xSbBptuTsrQ3Go","italian hip hop",NA,NA,NA,NA,NA,NA
"Yes Sir","Russ","Yes Sir","2022-06-24",158250,51,0.233,0.51,0.523,0,0.078,-8.565,0.431,79.907,9,1,158250,0.188,4,"4iKQdtdyHjBZBMHGpQEEDv","hawaiian hip hop",NA,NA,NA,NA,NA,NA
"31/08","Mecna","Laska","2015-01-27",196120,51,0.685,0.582,0.578,0.0181,0.125,-6.728,0.0847,120.404,4,0,196120,0.323,5,"5ddu4fN6N6IirtOUdGSoHH","italian hip hop","r&b italiano",NA,NA,NA,NA,NA
"PANICO (feat. Takagi & Ketra)","Lazza","SIRIO","2022-04-07",188564,71,0.0615,0.788,0.731,0,0.0997,-6.082,0.047,127.03,4,0,188564,0.258,4,"0SsUOrXUM2gZxVLYizZfQZ","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA
"Sur la Lune","Axos","Sur la Lune","2021-10-15",192403,21,0.426,0.567,0.707,0,0.169,-5.457,0.0518,77.97,1,0,192403,0.33,4,"2puW3oE0o4muHLkbLx14SY","italian hip hop",NA,NA,NA,NA,NA,NA
"Self Care","Mac Miller","Swimming","2018-08-03",345133,80,0.367,0.52,0.538,0.00187,0.119,-8.109,0.206,141.894,1,1,345133,0.177,4,"5bJ1DrEM4hNCafcDd1oxHx","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA
"Farmacia","Frah Quintale","Farmacia","2019-10-04",194863,42,0.233,0.805,0.682,4.06e-06,0.121,-5.799,0.103,109.983,0,0,194863,0.725,4,"4j75zvgrlssFe9fkH3Fs2c","italian hip hop","italian indie pop","italian pop","milan indie",NA,NA,NA
"Yellow","Coldplay","Parachutes","2000-07-10",266773,92,0.00239,0.429,0.661,0.000121,0.234,-7.227,0.0281,173.372,11,1,266773,0.285,4,"3AJwUDP919kvQ9QcozQPxg","permanent wave","pop",NA,NA,NA,NA,NA
"Molecole","Axos","Molecole","2021-12-09",206319,20,0.291,0.648,0.63,0,0.106,-6.994,0.0504,99.852,3,0,206319,0.18,4,"1USuQQ7V6lQJUxtrP6tmRD","italian hip hop",NA,NA,NA,NA,NA,NA
"Calcutta","Tananai","Calcutta","2019-09-26",210337,50,0.163,0.435,0.64,0,0.078,-7.542,0.174,178.256,6,1,210337,0.409,4,"22Im0DNjOpgvrj47feV9TI","italian pop",NA,NA,NA,NA,NA,NA
"Nei treni la notte","Frah Quintale","Regardez moi","2017-11-24",184146,66,0.156,0.506,0.535,6.24e-05,0.36,-6.583,0.0701,69.656,9,0,184146,0.658,4,"6NAbLPUknE9nKxQJeFGFKa","italian hip hop","italian indie pop","italian pop","milan indie",NA,NA,NA
"Paraguai","Nayt","Paraguai","2022-07-08",145376,51,0.243,0.607,0.577,0,0.193,-8.165,0.172,92.968,8,1,145376,0.297,4,"3bkfnsCQ5QMQ5rTU4NPiAo","italian hip hop",NA,NA,NA,NA,NA,NA
"Sigarette","Mondo Marcio","My Beautiful Bloody Break Up - Full Circle","2021-04-09",185946,44,0.175,0.792,0.624,0,0.209,-6.761,0.102,119.686,0,0,185946,0.498,4,"5Kh8YOTjlRaHlV9ZFFFd83","italian hip hop","italian underground hip hop",NA,NA,NA,NA,NA
"sci@ll@ (feat. Tananai)","thasup","c@ra++ere s?ec!@le","2022-09-30",184786,52,0.0724,0.83,0.795,0.00036,0.062,-3.778,0.0783,110.014,8,0,184786,0.902,4,"6VZaWYhELTIpY1dTjWwrKN","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA
"Se Piovesse Il Tuo Nome - con Calcutta","Elisa","Diari Aperti","2019-05-03",194519,64,0.676,0.561,0.461,0,0.323,-5.001,0.0512,82.13,1,0,194519,0.342,4,"3PYYiqmhooCNCGiiPTM5zS","italian adult pop","italian pop",NA,NA,NA,NA,NA
"Facciamolo","Rosa Chemical","Facciamolo","2019-06-07",141706,28,0.0932,0.713,0.641,0,0.174,-8.854,0.356,129.827,11,0,141706,0.697,4,"7BTHxXMzIuFefU35u37PBU","italian hip hop","italian pop",NA,NA,NA,NA,NA
"do u even miss me at all?","gianni & kyle","do u even miss me at all?","2019-10-04",177626,60,0.384,0.819,0.519,0,0.0898,-7.16,0.0768,100.039,10,0,177626,0.452,4,"1AHf5FSofKcUw8tyKkccKF","indie pop rap",NA,NA,NA,NA,NA,NA
"Weekend (feat. Miguel)","Mac Miller","GO:OD AM","2015-09-18",208080,78,0.47,0.843,0.435,0,0.147,-8.442,0.178,120.058,8,1,208080,0.19,4,"6GnhWMhgJb7uyiiPEiEkDA","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA
"Emily","Axos","Anima Mundi","2020-10-29",188922,34,0.312,0.802,0.61,3.5e-06,0.155,-8.913,0.121,115.995,9,0,188922,0.525,4,"6Oa3OnVT2FM1lNIx3u0AJq","italian hip hop",NA,NA,NA,NA,NA,NA
"No Time For Toxic People","Imagine Dragons","Mercury - Acts 1 & 2","2022-07-01",207870,64,0.00248,0.584,0.742,1.78e-05,0.0813,-5.201,0.0373,75.986,0,1,207870,0.585,4,"2wXfd4Vz6pzJrrPvGhpYz0","modern rock","pop","rock",NA,NA,NA,NA
"COMINCIA TU (feat. Rosa Chemical)","Tananai","COMINCIA TU (feat. Rosa Chemical)","2022-02-05",149196,55,0.0295,0.694,0.682,0,0.644,-4.735,0.0651,112.028,9,0,149196,0.798,4,"00aZI3Ds8liGrcqEetsEYf","italian pop",NA,NA,NA,NA,NA,NA
"Me vs. Me","Silent Bob","Piove Ancora","2021-11-05",169411,57,0.525,0.646,0.752,6.14e-05,0.119,-5.602,0.132,101.947,8,0,169411,0.383,4,"5tLAqhNvczUx9ufC9LgzmX","italian hip hop",NA,NA,NA,NA,NA,NA
"Woman","Harry Styles","Harry Styles","2017-05-12",278800,70,0.0169,0.624,0.647,0.0038,0.221,-4.68,0.0335,136.022,3,0,278800,0.379,4,"33bURv895AN4FkBvgFo2dx","pop",NA,NA,NA,NA,NA,NA
"Easy Come Easy Go","Imagine Dragons","Mercury - Acts 1 & 2","2022-07-01",179872,63,0.294,0.673,0.459,0,0.0942,-7.274,0.0515,139.817,3,0,179872,0.477,4,"5qRt4howTYyg3XzSNySKO8","modern rock","pop","rock",NA,NA,NA,NA
"ESAGERATA","Tananai","ESAGERATA","2021-12-03",198782,43,0.0233,0.753,0.65,9.57e-05,0.104,-5.337,0.0545,115.013,0,1,198782,0.407,4,"6yRqZK6gIT3zVu3y5JPcaF","italian pop",NA,NA,NA,NA,NA,NA
"Nessuno","Fabri Fibra","Caos","2022-03-18",197906,44,0.519,0.544,0.558,0,0.104,-9.364,0.0652,129.963,7,1,197906,0.375,4,"2ssTQhfRXPacZfzcXrrBza","italian hip hop","italian pop","rap napoletano",NA,NA,NA,NA
"Dove Si Balla","Dargen D'Amico","NEI SOGNI NESSUNO È MONOGAMO","2022-03-03",198082,58,0.176,0.592,0.603,0,0.123,-5.403,0.0933,145.94,0,1,198082,0.437,4,"5a6ABzVhqgVKI1znaI9tar","italian adult pop","italian hip hop","italian pop","milan indie","r&b italiano",NA,NA
"MARLA","Salmo","FLOP","2021-10-01",215224,54,0.121,0.678,0.544,1.2e-06,0.119,-7.505,0.282,74.93,5,1,215224,0.266,4,"5bYINUZAHhHaC4J0sdeWnl","italian hip hop","italian pop","italian underground hip hop","rap sardegna",NA,NA,NA
"Ogni pensiero vola","Venerus","Magica Musica","2021-02-19",233584,44,0.473,0.626,0.604,0.00534,0.211,-6.994,0.0732,80.044,8,0,233584,0.36,4,"5827FRbvRNgF7F1yNuvUbw","indie rock italiano","italian hip hop","italian indie pop","italian pop","milan indie","r&b italiano","rome indie"
"The Spins","Mac Miller","K.I.D.S. (Deluxe)","2010-08-13",195873,83,0.0135,0.794,0.766,0,0.0785,-3.894,0.0377,127.006,9,0,195873,0.55,4,"7FAFkQQZFeNwOFzTrSDFIh","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA
"Blu Intenso (feat. Tedua) - prod. thasup","Mara Sattei","UNIVERSO","2022-01-14",185283,46,0.122,0.691,0.796,0,0.111,-5.046,0.0636,152.96,8,1,185283,0.597,4,"22iyseivOMmWjH5UtA2cmj","italian hip hop","italian pop",NA,NA,NA,NA,NA
"Late Night Talking","Harry Styles","Harry's House","2022-05-20",177954,86,0.298,0.714,0.728,0,0.106,-4.595,0.0468,114.996,10,1,177954,0.901,4,"1qEmFfgcLObUfQm0j1W2CK","pop",NA,NA,NA,NA,NA,NA
"Doom","Nayt","DOOM","2021-10-29",127248,55,0.713,0.503,0.493,0.000625,0.238,-10.849,0.0341,89.295,7,1,127248,0.0612,4,"6lb1rcBfpEUmoGvbWhBxFL","italian hip hop",NA,NA,NA,NA,NA,NA
"Fuori orario","Coez","Fuori orario","2022-10-07",190222,31,0.363,0.648,0.698,0,0.104,-6.498,0.183,156.013,1,1,190222,0.497,4,"7cPPuJ5S5ZEZzsr9Bu5eRd","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA,NA
"Malavita","Axos","MANIE","2022-03-25",181578,28,0.741,0.649,0.441,0,0.118,-9.02,0.0489,76.198,5,0,181578,0.769,4,"1WRJaaO7VK61kLrGpB85XZ","italian hip hop",NA,NA,NA,NA,NA,NA
"Diploma","PSICOLOGI","2001","2019-07-19",147400,50,0.655,0.527,0.358,0,0.093,-13.466,0.0528,149.568,10,1,147400,0.406,4,"5lI8bCMkVq7YjOpc592aVr","italian hip hop","italian pop","rome indie",NA,NA,NA,NA
"Sorriso (Milano Dateo)","Calcutta ","Sorriso (Milano Dateo)","2019-06-07",177145,63,0.362,0.604,0.59,0,0.0959,-7.469,0.0318,90.994,8,1,177145,0.359,4,"6Rg0AJvt1xa4hR2QH2fUhb","italian adult pop","italian pop","rome indie",NA,NA,NA,NA
"La più bella","Mecna","La più bella","2021-10-07",201250,53,0.371,0.753,0.705,1.61e-06,0.114,-5.393,0.114,108.007,1,0,201250,0.613,4,"6mBrMo2CUoou15ZRqJpmI3","italian hip hop","r&b italiano",NA,NA,NA,NA,NA
"Camden Town","Axos","Anima Mundi","2020-10-29",161234,31,0.0824,0.647,0.662,7.55e-06,0.122,-7.23,0.102,150.185,1,1,161234,0.295,4,"6PIIozbgyYav8XY061MuHZ","italian hip hop",NA,NA,NA,NA,NA,NA
"Benedetto l'Inferno (feat. Gianna Nannini & Rosa Chemical)","CanovA","Benedetto l'Inferno (feat. Gianna Nannini & Rosa Chemical)","2022-01-07",153673,30,0.0359,0.633,0.687,0,0.106,-6.463,0.158,127.521,9,1,153673,0.549,4,"1Uk3wHlnalbw23B68bDaiJ","italian pop",NA,NA,NA,NA,NA,NA
"Del verde","Calcutta ","Mainstream (Deluxe Edition)","2016-06-03",228480,60,0.807,0.529,0.21,7.16e-05,0.164,-9.372,0.0302,73.028,0,1,228480,0.13,4,"5jT6gl92pmDlKy9689oZSX","italian adult pop","italian pop","rome indie",NA,NA,NA,NA
"C'est la Vie","Achille Lauro","1969 - Achille Idol Rebirth","2020-09-25",193150,54,0.169,0.471,0.515,0,0.106,-8.207,0.0377,146.156,11,0,193150,0.555,4,"0H69IrkN2Y9Df69rzyMscc","italian adult pop","italian hip hop","italian pop",NA,NA,NA,NA
"Amnésie","Vegas Jones","Amnésie","2022-05-13",145230,47,0.25,0.666,0.846,8.56e-05,0.499,-5.483,0.226,106.906,7,1,145230,0.656,4,"4jPiukdGJPUdD9aEIfEL4x","italian hip hop",NA,NA,NA,NA,NA,NA
"Il Doc 2 (feat. Tony Effe & Guè)","VillaBanks","Il Doc 2 (feat. Tony Effe & Guè)","2022-02-10",174983,52,0.0187,0.728,0.621,0,0.116,-7.699,0.195,93.94,11,0,174983,0.467,4,"2mKxTSrVPzc6dS8VqNTIYZ","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA
