"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Nonono","Pinguini Tattici Nucleari","Fuori dall'Hype","2019-04-05",210893,62,0.451,0.816,0.897,0,0.0803,-2.909,0.0682,95.005,7,1,210893,0.83,4,"4sE5wzpPd4s8kTdtVC18lY","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA
"Tommaso","Fulminacci","La Vita Veramente","2019-04-10",157640,58,0.02,0.745,0.905,4.3e-05,0.345,-3.35,0.0497,150.11,7,1,157640,0.733,4,"182Br0vkoUXaoowa62VU03","italian indie pop","italian pop","rome indie",NA,NA,NA
"Giovani Wannabe","Pinguini Tattici Nucleari","Giovani Wannabe","2022-05-27",212966,63,0.0409,0.739,0.81,0,0.122,-5.317,0.0311,127.972,11,0,212966,0.948,4,"7iLuBTHJSXM2HalKHFqEEy","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA
"Tetris","Pinguini Tattici Nucleari","Gioventù brucata","2017-04-14",350880,60,0.68,0.668,0.82,4.67e-06,0.112,-6.089,0.0625,114.98,4,1,350880,0.668,4,"5SGm0Q5Wur9mhpXnbzaPjG","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA
"everest","rovere","disponibile anche in mogano","2019-03-29",185028,35,0.0259,0.611,0.77,0,0.103,-6.568,0.0335,115.008,7,1,185028,0.401,4,"59ZH9Mv7v911W6Wm7gCM3o","italian indie pop",NA,NA,NA,NA,NA
"Altrove","Eugenio In Via Di Gioia","Natura Viva","2019-03-01",189480,49,0.564,0.544,0.479,0,0.136,-10.828,0.348,176.035,3,1,189480,0.426,4,"1NltEhWH77wzaYiFeg6ZUK","indie folk italiano","italian alternative","italian indie pop","turin indie",NA,NA
"Semaforo","Willie Peyote","Iodegradabile","2019-10-25",208493,49,0.0165,0.634,0.763,1.34e-06,0.367,-5.25,0.0554,105.002,9,0,208493,0.469,4,"1kuuvCNQ7Vc9OMQjqh8Dv8","italian alternative","italian indie pop","italian pop","rap napoletano","turin indie",NA
"San Giovanni","Fulminacci","San Giovanni","2019-12-06",174953,53,0.727,0.74,0.406,0,0.12,-8.473,0.0702,83.059,7,1,174953,0.59,4,"6B6NxY84VZg6yAUAbXAlO9","italian indie pop","italian pop","rome indie",NA,NA,NA
"tadb","rovere","disponibile anche in mogano","2019-03-29",189745,42,0.0289,0.551,0.667,0,0.0859,-4.884,0.0958,200.064,1,0,189745,0.699,4,"3q6CTHUI3qjRkq0YqosAdt","italian indie pop",NA,NA,NA,NA,NA
"Ringo Starr","Pinguini Tattici Nucleari","Fuori dall'Hype Ringo Starr","2020-02-07",183333,66,0.304,0.754,0.925,0,0.313,-2.912,0.0512,114.077,4,0,183333,0.857,4,"5yfE6GXTuJaAlepKoE0wJE","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA
