"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"Quanto ti vorrei","chiello","OCEANO PARADISO","2021-10-14",180342,54,0.00721,0.476,0.711,1.81e-06,0.0842,-5.769,0.0336,185.996,2,1,180342,0.756,4,"2KdcUxAJWAARnGTWmSWxwu","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"Ciao Ciao","La rappresentante di lista","Ciao Ciao","2022-02-02",184311,58,0.125,0.747,0.819,2.61e-06,0.331,-4.602,0.134,117.994,4,0,184311,0.637,4,"0jLeyuu6mtsD384054xLah","indie siciliano","italian adult pop","italian alternative","italian indie pop","italian pop",NA,NA,NA,NA
"ZITTI E BUONI","Måneskin","Teatro d'ira - Vol. I","2021-03-19",194786,76,0.00138,0.625,0.939,0,0.424,-3.115,0.0669,102.999,4,0,194786,0.644,4,"776AftMmFFAWUIEAb3lHhw","indie rock italiano","italian pop",NA,NA,NA,NA,NA,NA,NA
"Dimmelo Te","Vasco Rossi","Il Mondo Che Vorrei","2008-01-01",274613,30,0.00705,0.635,0.689,0.0223,0.055,-5.956,0.0265,152.04,9,0,274613,0.43,4,"4ZaBvlaIUluPwZX7RFbvLt","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA,NA
"Give In to Me","Michael Jackson","Dangerous","1991-11-13",328626,62,0.152,0.502,0.855,0.000488,0.106,-3.27,0.0305,86.968,4,0,328626,0.337,4,"1euDTbMNRPNfKd8zZz4zTT","r&b","soul",NA,NA,NA,NA,NA,NA,NA
"Il Mio Nome E' Mai Più","Jovanotti","Backup 1987-2012","2012-01-01",270786,33,0.297,0.623,0.921,0.00623,0.27,-4.175,0.0499,96.505,9,0,270786,0.779,4,"5x4eKJ4Dgafd1CzKCyLd9r","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"A Kind Of Magic - Remastered 2011","Queen","A Kind Of Magic (2011 Remaster)","1986-06-02",264253,74,0.0184,0.67,0.776,0.00294,0.128,-5.874,0.0356,130.128,9,1,264253,0.703,4,"5RYLa5P4qweEAKq5U1gdcK","classic rock","glam rock","rock",NA,NA,NA,NA,NA,NA
"okk@pp@","thasup","c@ra++ere s?ec!@le","2022-09-30",142373,52,0.0963,0.747,0.675,0.000342,0.345,-4.879,0.0422,106.96,10,1,142373,0.683,4,"7zJed3rkONaRKANBROr7Zr","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA,NA
"L'isola che non c'è","Edoardo Bennato","Sono Solo Canzonette","1980-03-09",240506,58,0.424,0.544,0.469,0,0.186,-8.783,0.0343,80.549,5,1,240506,0.524,4,"57qOMZrbvnYyPRLodmnQk8","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA
"Non cambierei questa vita con nessun'altra","Ligabue","Non cambierei questa vita con nessun'altra","2022-05-04",227638,42,0.00647,0.488,0.9,0,0.133,-4.615,0.0512,153.004,2,1,227638,0.581,4,"0cRdS3tQpfo4XYuwgmT35O","italian adult pop","italian pop rock",NA,NA,NA,NA,NA,NA,NA
"INSUPERABILE","Rkomi","TAXI DRIVER","2022-02-24",172461,61,0.0344,0.667,0.848,0,0.183,-5.195,0.0851,122.035,4,0,172461,0.84,4,"3nNxdeQX9iFeuosMcFEeDd","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"CORALINE","Måneskin","Teatro d'ira - Vol. I","2021-03-19",300413,74,0.0299,0.363,0.678,0,0.324,-4.939,0.0995,162.124,2,0,300413,0.321,4,"7HMz8o0m7ASQ3ImFPfhWTY","indie rock italiano","italian pop",NA,NA,NA,NA,NA,NA,NA
"Quanti Anni Hai","Vasco Rossi","Canzoni Per Me (Remastered 2017)","1998-04-18",284586,58,0.282,0.626,0.585,0.0226,0.309,-5.447,0.0371,98.028,2,0,284586,0.451,4,"0X8fLyP9d583KkGgso4Mqt","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA,NA
"Jam","Michael Jackson","Dangerous","1991-11-13",338173,62,0.0487,0.884,0.96,0.0227,0.271,-4.613,0.0721,116.273,2,1,338173,0.617,4,"2EI8uljBPaI23VUr2tv4eS","r&b","soul",NA,NA,NA,NA,NA,NA,NA
"Tattica","Fulminacci","Tante care cose","2021-03-12",193413,52,0.0244,0.722,0.918,0.000164,0.0585,-3.408,0.0376,128.998,0,1,193413,0.91,4,"3rAvsg2npEEGeaGckpqmW9","italian indie pop","italian pop","rome indie",NA,NA,NA,NA,NA,NA
"m%n","thasup","m%n","2021-10-22",174364,52,0.522,0.766,0.667,0,0.0838,-4.668,0.053,128.62,10,0,174364,0.52,4,"5VSmYYZYuSCSlOweGMpM1A","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA,NA
"Tu che conosci il cielo","Ligabue","Fuori come va? [Remastered Version]","2002",257560,30,0.175,0.523,0.619,0.00121,0.223,-5.17,0.0263,139.913,0,1,257560,0.0938,4,"5Z74467Wldb5U1nQNN38gz","italian adult pop","italian pop rock",NA,NA,NA,NA,NA,NA,NA
"Shout","Tears For Fears","Songs From The Big Chair","1985-02-25",393666,76,0.174,0.511,0.942,1.87e-05,0.139,-10.407,0.0429,97.909,0,1,393666,0.498,4,"2gQaQUhDCNGfBVXTvxAmXQ","new romantic","new wave","new wave pop","permanent wave","rock","sophisti-pop","synthpop",NA,NA
"Duel","Propaganda","A Secret Wish (Analogue Sequence)","1985-07-01",282386,57,0.207,0.681,0.826,0.439,0.107,-7.746,0.0332,144.875,5,0,282386,0.561,4,"1sgMo3mjFB8mA7KLzETTeO","new romantic","new wave pop","synthpop",NA,NA,NA,NA,NA,NA
"In tutti i miei giorni","Raf","Ouch","2004-04-30",286973,26,0.679,0.626,0.394,0,0.14,-8.631,0.0253,107.898,10,0,286973,0.32,4,"49bURzoD9h997sjQljseDN","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA,NA
"Il cielo è vuoto o il cielo è pieno","Ligabue","Buon compleanno Elvis [Remastered Version]","1995",216253,30,0.18,0.42,0.937,0,0.118,-4.651,0.0634,159.078,7,1,216253,0.421,4,"1whvUyQF74CqKYXlA6pR09","italian adult pop","italian pop rock",NA,NA,NA,NA,NA,NA,NA
"Mad World","Tears For Fears","The Hurting","1983-03-07",215400,71,0.0709,0.647,0.896,0.0505,0.0614,-5.949,0.0509,118.729,4,1,215400,0.953,4,"0Qv7xi6uPSqH2k82tOkGSt","new romantic","new wave","new wave pop","permanent wave","rock","sophisti-pop","synthpop",NA,NA
"Una lunga storia d'amore","Gino Paoli","Appunti di un lungo viaggio","2019-04-19",279348,47,0.525,0.462,0.443,4.1e-05,0.116,-9.395,0.0282,137.086,2,1,279348,0.406,4,"5iSgzL5UaQ1gaKE5JzB2IZ","canzone d'autore","canzone genovese","classic italian pop","italian adult pop",NA,NA,NA,NA,NA
"A me me piace 'o blues - 2017 Remaster","Pino Daniele","Quando","2015-04-18",188600,26,0.403,0.739,0.724,0.000524,0.335,-6.954,0.057,117.036,11,0,188600,0.911,4,"78q6wnyVOCzVL3BwNJZ94H","canzone d'autore","canzone napoletana","classic italian pop","folk rock italiano","italian adult pop",NA,NA,NA,NA
"Seduto in riva al fosso","Ligabue","Buon compleanno Elvis [Remastered Version]","1995",270266,39,0.203,0.544,0.629,7.52e-06,0.289,-5.887,0.026,129.886,0,1,270266,0.261,4,"4HZ03mE9dGrUcwPSU2icrY","italian adult pop","italian pop rock",NA,NA,NA,NA,NA,NA,NA
"Tainted Love","Soft Cell","Non-Stop Erotic Cabaret","1981",153800,84,0.462,0.5,0.501,0,0.26,-8.284,0.0376,144.438,0,0,153800,0.623,4,"0cGG2EouYCEEC3xfa0tDFV","new romantic","new wave","new wave pop","synthpop",NA,NA,NA,NA,NA
"Morirò da Re","Måneskin","Il ballo della vita","2018-10-26",157880,68,0.123,0.605,0.881,0,0.038,-2.563,0.153,193.788,10,1,157880,0.928,4,"1aX0Ki80LFzzhqxqRlqbAV","indie rock italiano","italian pop",NA,NA,NA,NA,NA,NA,NA
"Polvere","Enrico Ruggeri","Polvere","1983-11-19",228799,34,0.121,0.693,0.761,0,0.0465,-8.132,0.034,141.286,9,1,228799,0.925,4,"4wjpmqfw8Yy3nKBhEdCfOl","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA,NA
"Vivo morto o x","Ligabue","Buon compleanno Elvis [Remastered Version]","1995",260426,36,0.0852,0.595,0.933,7.29e-05,0.0426,-3.288,0.109,124.482,2,1,260426,0.72,4,"6ZI0e7jMiOoV2dJhRRD3Jf","italian adult pop","italian pop rock",NA,NA,NA,NA,NA,NA,NA
"Sally","Vasco Rossi","Nessun Pericolo...Per Te (Remastered 2017)","1996-10-28",283386,64,0.289,0.666,0.621,0.000536,0.103,-6.104,0.0335,100.829,2,1,283386,0.52,4,"4hJSzUREpdDo8uhgEflbHr","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA,NA
"Brisa Mar - Nicola Conte Re-Work","Sabrina Malheiros","New Morning (Deluxe Edition)","2009-10-12",225866,43,0.584,0.708,0.576,0.00869,0.138,-10.054,0.0468,93.996,5,0,225866,0.843,4,"71pEt9vu5zZ2XysFrjoavi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tangled","Maroon 5","Songs About Jane","2002-06-25",198200,47,0.0313,0.626,0.8,0,0.0587,-5.085,0.0611,145.839,9,0,198200,0.737,4,"07oRM1c6VtzDpxjTn8w6Hm","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Cosa vuoi che sia","Ligabue","Nome e cognome [Remastered Version]","2005",216146,47,0.0867,0.413,0.837,0,0.64,-4.011,0.0351,169.921,9,0,216146,0.427,4,"67JUFs5QKnKljkaTWOS0K4","italian adult pop","italian pop rock",NA,NA,NA,NA,NA,NA,NA
"Beggin'","Måneskin","Chosen","2017-12-08",211560,85,0.127,0.714,0.8,0,0.359,-4.808,0.0504,134.002,11,0,211560,0.589,4,"3Wrjm47oTz2sjIgck11l5e","indie rock italiano","italian pop",NA,NA,NA,NA,NA,NA,NA
"Conexão","Sabrina Malheiros","New Morning (Deluxe Edition)","2009-10-12",317120,33,0.166,0.737,0.908,0.733,0.135,-10.014,0.0587,120.002,4,0,317120,0.733,4,"6axzp2TsFaw9DJgElLLGk8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stranger in Moscow","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I","1995-06-16",343960,60,0.248,0.802,0.468,0.000601,0.32,-8.629,0.0378,129.937,1,1,343960,0.586,4,"64KrFHj9p5AyCX2yZQr4YJ","r&b","soul",NA,NA,NA,NA,NA,NA,NA
"Kay è stata qui","Ligabue","Miss Mondo [Remastered Version]","1999",228453,27,0.0413,0.311,0.824,1.35e-06,0.141,-3.633,0.0352,117.424,7,1,228453,0.102,4,"2ZKVUdUj8lecKj7OI72sgW","italian adult pop","italian pop rock",NA,NA,NA,NA,NA,NA,NA
"Half a Minute","Matt Bianco","Whose Side Are You On? (Expanded)","1984-01-01",229933,49,0.188,0.769,0.702,0.144,0.243,-7.769,0.0384,106.941,5,1,229933,0.641,4,"6zGUhFzT3GJ5n1EpXYJpZu","sophisti-pop",NA,NA,NA,NA,NA,NA,NA,NA
"Salve o Mar","Sabrina Malheiros","Clareia","2017-07-28",315240,31,0.24,0.709,0.726,0.101,0.0794,-9.804,0.0547,122.49,7,0,315240,0.679,4,"0Ct474ilWhuVUDHFcUTzlS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Another Part of Me - 2012 Remaster","Michael Jackson","Bad 25th Anniversary","2012-09-18",234720,55,0.11,0.78,0.868,7.67e-05,0.352,-4.5,0.0705,106.069,10,1,234720,0.773,4,"21VCYxPZ8A2XpSNUyQCT3B","r&b","soul",NA,NA,NA,NA,NA,NA,NA
"Leggero","Ligabue","Buon compleanno Elvis [Remastered Version]","1995",254960,47,0.568,0.364,0.355,0,0.0797,-8.683,0.0501,161.952,0,1,254960,0.384,4,"11d6VGMNHC2CqBFQVKnKgm","italian adult pop","italian pop rock",NA,NA,NA,NA,NA,NA,NA
"Eyes Without A Face - Remastered 1999","Billy Idol","Greatest Hits","2001-01-01",297426,65,0.00823,0.545,0.647,0.22,0.159,-9.693,0.0404,85.76,9,1,297426,0.552,4,"3HCah9Waf9Jby9gLIWN4MI","album rock","classic rock","dance rock","hard rock","new romantic","new wave","new wave pop","rock","soft rock"
"MAMMAMIA","Måneskin","MAMMAMIA","2021-10-08",186809,70,0.000615,0.767,0.678,0,0.0952,-3.284,0.0686,142.06,1,0,186809,0.791,4,"78SCmQ8A7KQSMdkem2SwBP","indie rock italiano","italian pop",NA,NA,NA,NA,NA,NA,NA
